3;2,5;Vigilar;36.27348589897156
3;2,5;Critico;16.27368712425232
3;2,5;Vigilar;55.41648030281067;31.56289768218994
3;2,5;Critico;35.41620922088623;11.562828540802002
3;2,5;Vigilar;35.36542725563049;30.554458618164062
3;2,5;Critico;15.365016222000122;10.554425716400146
3;2,5;Vigilar;35.76669692993164;31.456379890441895
3;2,5;Critico;15.766462326049805;11.456357955932617
3;2,5;Vigilar;54.39992332458496
3;2,5;Critico;34.39972424507141
3;2,5;Vigilar;36.168131589889526
3;2,5;Critico;16.167855739593506
3;2,5;Vigilar
3;2,5;Vigilar
3;2,5;Critico
